job,init,Pressure stream Sour natural gas,Molar flow stream CO2 vent,Mole fraction Carbon dioxide stream CO2 vent,Molar flow stream Sweetened natural gas,Mole fraction Methane stream Sweetened natural gas,Mole fraction Carbon dioxide stream Sweetened natural gas,MembraneArea of Primary membrane,Energy demand of Compressor 2,Energy demand of Compressor 3,MembraneArea of Secondary membrane,Energy demand of Compressor 1,Status
,,bar,mol / s,,mol / s,,,m²,W,W,m²,W,
1,2,30,16.4697386885,0.690320619166,121.530337411,0.979999925762,0.020000074238,4678.8125,112749.87103,110724.388974,1175.828125,107441.184504,OK
2,3,40,15.0399883185,0.754046696194,122.960197136,0.979999895566,0.0200001044339,2988.5,114899.341137,112192.336336,656.828125,107067.481919,OK
3,4,50,14.2848577945,0.792859822076,123.715502671,0.979999985588,0.0200000144123,2166.625,118043.934886,114659.72247,431.53515625,107373.693592,OK
4,,60,13.8372977434,0.81784612537,124.162715291,0.980000168573,0.019999831427,1690.71875,121474.316403,117424.271246,313.5546875,107688.922973,OK
5,4,70,13.549677136,0.834779134987,124.450523318,0.979999659065,0.0200003409354,1383.15625,124902.759266,120204.010973,243.484375,107769.571096,OK
6,5,80,13.3528538586,0.846789823502,124.647129298,0.980000038484,0.0199999615157,1169.03125,128207.66932,122881.623616,197.947265625,107564.184673,OK
